
Left,Right,Direction,Kp,Ki,Kd
1,0,0,-2.00,-0.50,-1.00
1,0,0,-2.00,-1.00,0.00
1,0,0,-2.00,-1.50,0.00
1,0,0,-2.00,-2.00,0.00
1,0,0,-2.00,-2.50,0.00
1,1,0,0.00,-2.50,1.00
1,1,0,0.00,-2.50,0.00
1,0,0,-2.00,-3.00,-1.00
1,0,0,-2.00,-3.50,0.00
1,0,0,-2.00,-4.00,0.00
1,1,0,0.00,-4.00,1.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
1,1,0,0.00,-4.00,0.00
0,1,0,2.00,-3.50,1.00
1,0,0,-2.00,-4.00,-2.00
1,0,0,-2.00,-4.50,0.00
0,0,0,-2.00,-5.00,0.00
0,0,0,-2.00,-5.50,0.00
0,0,0,-2.00,-6.00,0.00
1,0,0,-2.00,-6.50,0.00
1,0,0,-2.00,-7.00,0.00
0,1,0,2.00,-6.50,2.00
